year,author,title,link,shl_has_link,shl_link
1992,"Abelson, Peter",House and land prices in Australia with special reference to Sydney.,http://etheses.lse.ac.uk/2587/,True,
1992,"Al-Khalidi, Mona",The determinants of health status in Jordan: 1960-1988.,http://etheses.lse.ac.uk/1327/,True,
1992,"Almadhagi, Ahmed Noman Kassim",YAR-US relations 1962-1990: A case study of a superpower-small state relationship.,http://etheses.lse.ac.uk/2822/,True,
1992,"Anastasakis, Othon Evangelos",Authoritarianism in 20th century Greece: Ideology and education under the dictatorships of 1936 and 1967.,http://etheses.lse.ac.uk/1304/,True,
1992,"Angelides, Marios",Developing the didactic operations for intelligent tutoring systems: A synthesis of artificial intelligence and hypertext.,http://etheses.lse.ac.uk/1353/,True,
1992,"Barakat, Mamdouh Taysir",Semantic modelling for discrete event simulation.,http://etheses.lse.ac.uk/2823/,True,
1992,"Best, Antony M","Avoiding war: The diplomacy of Sir Robert Craigie and Shigemitsu Mamoru, 1937-1941.",http://etheses.lse.ac.uk/1266/,True,
1992,"Biel, Robert","The Middle East in China's united front calculations, 1957-58.",http://etheses.lse.ac.uk/1277/,True,
1992,"Bingxun, Zhang",Cultural conditionality in decision making: A prospect of probabilistic thinking.,http://etheses.lse.ac.uk/2430/,True,
1992,"Boobbyer, Philip Christopher","A Russian philosopher: The life and work of Semen Liudvigovich Frank, 1877-1950.",http://etheses.lse.ac.uk/1130/,True,
1992,"Buchanan, Brenda J","Capital investment in a regional economy: Some aspects of the sources and employment of capital in North Somerset, 1750-1830.",http://etheses.lse.ac.uk/2824/,True,
1992,"Chaiyaporn, Chaiyan",Plato's theory of man in relation to his political philosophy.,http://etheses.lse.ac.uk/1261/,True,
1992,"Chun, Ki-Jeong",The effectiveness of a facilitated group decision support system (decision conferencing): A UK/US field study.,http://etheses.lse.ac.uk/1356/,True,
1992,"Clark, David Gregory",The effectiveness of incentive payment systems: An empirical test of individualism as a boundary condition.,http://etheses.lse.ac.uk/1340/,True,
1992,"Coady, David P",Agricultural pricing in developing countries: Pakistan 1960-1988.,http://etheses.lse.ac.uk/1110/,True,
1992,"Daannaa, Henry Seidu",The impact of state law on custom and leadership in a post-colonial state: A legal historical case study of centralised Wa and acephalous Chakali in northern Ghana.,http://etheses.lse.ac.uk/2086/,True,
1992,"Duclos, Jean-Yves","Progressivity, equity and the take-up of state benefits, with application to the 1985 British tax and benefit system.",http://etheses.lse.ac.uk/1294/,True,
1992,"Elgie, Robert","The influence of the French Prime Minister in the policy making process, 1981-1991.",http://etheses.lse.ac.uk/1305/,True,
1992,"Evans, Martin C","Making rent affordable? The aims and outcomes of housing and social security policies in Britain, 1945-1986.",http://etheses.lse.ac.uk/1299/,True,
1992,"Evers, Ingo Dietrich","William Gilbert's scientific achievement: An assessment of his magnetic, electrical and cosmological researches.",http://etheses.lse.ac.uk/1224/,False,
1992,"Farthing, Gerald Brian",Social experiments and social policy formulation: A study of the Manitoba basic annual income experiment.,http://etheses.lse.ac.uk/1163/,True,
1992,"Fig, David",The political economy of South-South relations: The case of South Africa and Latin America.,http://etheses.lse.ac.uk/1311/,True,
1992,"Gavin, Neil Thomas",The impact of the mass media on the structure of economic perceptions: Britain in the 1980s.,http://etheses.lse.ac.uk/1264/,True,
1992,"Gilat, Orly","The methodology of regional planning, the case of the Galil, Israel, 1975-1986.",http://etheses.lse.ac.uk/1282/,True,
1992,"Gunn, Trevor Julien","Neutrality and alignment: Selected aspects of Swedish and Norweigan foreign policies toward the Soviet Union, 1987-1991.",http://etheses.lse.ac.uk/1313/,True,
1992,"Hershey, Rachel Riemann",An effective spatial decision support system for landuse planning: With an example from forest management.,http://etheses.lse.ac.uk/1357/,True,
1992,"Hove, Charles Jorobiah Gwenhamo",The economics and policy implications of government investment in water and irrigation development in Zimbabwe.,http://etheses.lse.ac.uk/1191/,True,
1992,"Joao da Costa Cabral Andresen Guimaraes, Fernando",The origins of the Angolan civil war. International politics and domestic political conflict 1961-1976.,http://etheses.lse.ac.uk/2414/,True,
1992,"Jones, Lewis William",Aspects of Birmingham community power around 1900: A study of decision-making.,http://etheses.lse.ac.uk/1136/,True,
1992,"Jonsson, Gudmundur","The state and the Icelandic economy, 1870-1930.",http://etheses.lse.ac.uk/1103/,True,
1992,"Katzmann, Lynne Susan",The German Sickness Insurance Programme 1883-1911: Its relevance for contemporary American health policy.,http://etheses.lse.ac.uk/1296/,True,
1992,"Koopman, Siem Jan",Diagnostic checking and intra-daily effects in time series models.,http://etheses.lse.ac.uk/74/,True,
1992,"Koray, Bashirideen Iddrisu",International court of justice: The position of third parties reconsidered.,http://etheses.lse.ac.uk/1178/,True,
1992,"Korn, Dan","National coalitions in Israel, 1984-1990: The politics of 'not losing'.",http://etheses.lse.ac.uk/2083/,True,
1992,"Kurosawa, Masako",Continuous time panel study of the size and timing of negotiated wage changes: The effects of British incomes policy 1950-73.,http://etheses.lse.ac.uk/1344/,True,
1992,"Lam, Han","Minibus transport in Far Eastern cities, with special reference to Beijing.",http://etheses.lse.ac.uk/1337/,True,
1992,"Lanjouw, Peter Frederik","Inequality, poverty and mobility: The experience of a North Indian village.",http://etheses.lse.ac.uk/1291/,True,
1992,"Lee, Kevin Charles",An empirical investigation of the causes and consequences of inertia in wages and prices.,http://etheses.lse.ac.uk/1113/,True,
1992,"Leoussi, Athena S","Images of Greeks in British and French art, c.1833-1880: Physical anthropology, art and society.",http://etheses.lse.ac.uk/1263/,True,
1992,"Maharatna, Arup",The demography of Indian famines: A historical perspective.,http://etheses.lse.ac.uk/1279/,True,
1992,"Maor, Moshe",The dynamics of minority rule: Intra-party politics and minority governments in Western Europe.,http://etheses.lse.ac.uk/1174/,True,
1992,"Maria Travassos Veras, Claudia","Equity in the use of private hospitals contracted by a compulsory insurance scheme in the city of Rio de Janeiro, Brazil, in 1986.",http://etheses.lse.ac.uk/2431/,True,
1992,"Markowe, Laura Ann",The 'coming out' process for lesbians: A comparison of lesbian and heterosexual perspectives.,http://etheses.lse.ac.uk/1221/,True,
1992,"McCarthy, Mark James",Evolution and implementation of the Italian health service reform of 1978.,http://etheses.lse.ac.uk/1165/,True,
1992,"McManus, Mary Kathleen","The end of imperial diplomatic unity, 1919-1928: Anglo-Canadian relations from the British perspective.",http://etheses.lse.ac.uk/1267/,True,
1992,"Mejia, Alicia",Empirically derived methods for analysing simulation model output.,http://etheses.lse.ac.uk/2224/,True,
1992,"Micallef, Antony Edmund",The criminal offence in international law.,http://etheses.lse.ac.uk/1179/,True,
1992,"Mubarez, Abdeldayem M",Foreign policy making in the Yemen Arab Republic civil war period: A study of four major decisions.,http://etheses.lse.ac.uk/1407/,True,
1992,"Mulira, Ham-Mukasa",Computational methods for transformations to multivariate normality.,http://etheses.lse.ac.uk/1352/,True,
1992,"Munro, Eileen Margaret",The role of scientific methods in social work.,http://etheses.lse.ac.uk/1166/,True,
1992,"Neilson, Linda C",The development of family mediation: Practitioner perspectives on education.,http://etheses.lse.ac.uk/1180/,True,
1992,"Parikh, Kirtida",Electricity demand and pricing in India: 1947-1986.,http://etheses.lse.ac.uk/1190/,True,
1992,"Percival, Ray Scott",Openness to argument: A philosophical examination of Marxism and Freudianism.,http://etheses.lse.ac.uk/1133/,True,
1992,"Rawson, Donald George",Authenicated action and the decision to stop smoking.,http://etheses.lse.ac.uk/1156/,False,
1992,"Reddington, Karen Maria",Scheduling of multiple vehicle types: The allocation of locomotives to trains.,http://etheses.lse.ac.uk/1338/,False,
1992,"Redfern, Paul",There goes the neighbourhood: Gentrification and marginality in modern life.,http://etheses.lse.ac.uk/1292/,True,
1992,"Rosen, Asa",Contributions to the theory of labour contracts.,http://etheses.lse.ac.uk/2429/,True,
1992,"Rowlands, Ian",International regime formation: the politics of ozone layer depletion and global warming.,http://etheses.lse.ac.uk/122/,True,
1992,"Rumgay, Judith","Alcohol, crime and judgments of responsibility: Sentencing practice in a magistrates' court.",http://etheses.lse.ac.uk/2460/,True,
1992,"Samoulla Farsides, Calliope Christina",Consent and the basis of political obligation with reference made to Thomas Hobbes and John Locke.,http://etheses.lse.ac.uk/2827/,True,
