year,author,title,link,shl_has_link,shl_link
1998,"Arana, Alejandro Rodriguez",Credibility and business cycles in exchange rate based stabilization programmes.,http://etheses.lse.ac.uk/2622/,True,http://catalogue.libraries.london.ac.uk/record=b1812644~S24
1998,"Arhin, Dyna Carol",Willingness to pay for rural health insurance: Evidence from three African countries.,http://etheses.lse.ac.uk/2863/,True,
1998,"Arteche, Jesus Maria",Seasonal and cyclical long-memory in time series.,http://etheses.lse.ac.uk/2077/,True,http://catalogue.libraries.london.ac.uk/record=b1814785~S24
1998,"Boelaert-Suominen, Sonja Ann Jozef",International environmental law and naval war: The effect of marine safety and pollution conventions during international armed conflict.,http://etheses.lse.ac.uk/2608/,True,
1998,"Brown, Susan",The institutional evolution of the WTO Government Procurement Agreement: towards an understanding of the peripheries of domestic economic policies.,http://etheses.lse.ac.uk/3163/,True,
1998,"Combs, Arthur","Rural economic development as a nation building strategy in South Vietnam, 1968-1972.",http://etheses.lse.ac.uk/2859/,True,
1998,"Dalmazzo, Alberto",Technological and financial factors in models of wage determination.,http://etheses.lse.ac.uk/1500/,True,http://catalogue.libraries.london.ac.uk/record=b1812419~S24
1998,"Day, R. G","The impact on the independence of accounting regulators of structure, process and inputs.",http://etheses.lse.ac.uk/1521/,True,
1998,"Dean, Kathryn",Capitalism and collective action: A Marxist account of the erosion of political commitment in liberal capitalist cultures.,http://etheses.lse.ac.uk/1451/,True,http://catalogue.libraries.london.ac.uk/record=b1785261~S24
1998,"Del Seta, Marco",Quantum measurement as theory: Its structure and problems.,http://etheses.lse.ac.uk/2485/,True,http://catalogue.libraries.london.ac.uk/record=b1837095~S24
1998,"Demirci, Sevtap","The Lausanne Conference: The evolution of Turkish and British diplomatic strategies, 1922-1923.",http://etheses.lse.ac.uk/1493/,True,http://catalogue.libraries.london.ac.uk/record=b1812580~S24
1998,"Eeckhout, Jan",Perfect matching and search in economic models.,http://etheses.lse.ac.uk/2861/,True,http://catalogue.libraries.london.ac.uk/record=b1818695~S24
1998,"Eich, Frank E.O",The internationalisation of the economy and its effects on regional economic policies.,http://etheses.lse.ac.uk/2604/,True,
1998,"Fernando Santos Almeida, Alvaro",Monetary policy strategy and the behaviour of exchange rates: An empirical investigation.,http://etheses.lse.ac.uk/2611/,True,http://catalogue.libraries.london.ac.uk/record=b1837826~S24
1998,"Fotopoulos, Georgios","The determinants of firm entry and exit into Greek manufacturing industries: Sectoral, temporal and spatial variation.",http://etheses.lse.ac.uk/2600/,True,
1998,"Frederico, Renato Augusto","Agricultural research, technological change and small farmer participation: A case study of north-east Brazil.",http://etheses.lse.ac.uk/2260/,True,http://catalogue.libraries.london.ac.uk/record=b1844064~S24
1998,"Gallego-Calderon, Raquel","'New public management reforms' in the Catalan public health sector, 1985-1995: institutional choices, transactions costs and policy change.",http://etheses.lse.ac.uk/3231/,True,
1998,"Gardella, Alexis Maria-Angela",The process of social formation on the island of Rodrigues (Indian Ocean).,http://etheses.lse.ac.uk/2001/,True,
1998,"Gil-Alana, Luis Alberiko",Testing fractional integration in macroeconomic time series.,http://etheses.lse.ac.uk/2613/,True,http://catalogue.libraries.london.ac.uk/record=b1836984~S24
1998,"Guedes, Ana Lucia Malheiros",Environmental practices of transnational corporations in Brazil: Cases in the chemical and pharmaceutical sectors.,http://etheses.lse.ac.uk/1508/,True,http://catalogue.libraries.london.ac.uk/record=b1838184~S24
1998,"Hadjixenophontos, Andreas",The institutional structure and economic rationale of co-operative organisation in Cyprus.,http://etheses.lse.ac.uk/2860/,True,
1998,"Haegler, Urs","Money, reputation and inventories under credit market imperfections.",http://etheses.lse.ac.uk/2862/,True,http://catalogue.libraries.london.ac.uk/record=b1817462~S24
1998,"Harper, Gemma Clare",Deconstructing the beast: Contemporary representations and discourses on the nature of animals in urban Britain.,http://etheses.lse.ac.uk/2864/,True,http://catalogue.libraries.london.ac.uk/record=b1817372~S24
1998,"Harrison, Elaine","Women members and witnesses on British government ad hoc committees of inquiry 1850-1930, with special reference to royal commissions of inquiry.",http://etheses.lse.ac.uk/2609/,True,http://catalogue.libraries.london.ac.uk/record=b1826584~S24
1998,"Heffernan, Richard",Exploring political change---Thatcherism and the remaking of the Labour Party 1979--1997.,http://etheses.lse.ac.uk/2133/,True,http://catalogue.libraries.london.ac.uk/record=b2963782~S24
1998,"Hewerdine, Anita Rosamund",The Yeomen of the King's Guard 1485-1547.,http://etheses.lse.ac.uk/2206/,True,
